# 本地化字典 - 简体中文
# 格式：未使用	Key	未使用	翻译值（Tab 分隔）
# 列[1] = 字典键（用于 GetString/Tr 查询）
# 列[3] = 翻译值
x	GameTitle	x	点击方块
x	StartGame	x	开始游戏
x	PauseGame	x	暂停游戏
x	ResumeGame	x	继续游戏
x	GameOver	x	游戏结束
x	Score	x	分数
x	HighScore	x	最高分
x	TimeRemaining	x	剩余时间
x	NewRecord	x	新纪录！
x	ClickBlocks	x	点击方块得分！
x	Settings	x	设置
x	Sound	x	音效
x	Music	x	音乐
x	Volume	x	音量
x	Back	x	返回
x	Restart	x	重新开始
x	Quit	x	退出
x	Ready	x	准备
x	Playing	x	游戏中
x	Paused	x	已暂停
x	BlocksLeft	x	剩余方块
x	TestOverlay	x	测试覆盖层
x	WelcomeMessage	x	欢迎来到点击方块！
x	Instructions	x	点击绿色方块得分，避开红色方块！
x	ScoreFormat	x	得分：{0}
x	TimeFormat	x	时间：{0}秒
x	BlockCountFormat	x	方块：{0}/{1}
x	CountdownFormat	x	{0}...
x	GameOverMessage	x	游戏结束！最终得分：{0}
x	HighScoreMessage	x	最高记录：{0}
x	PressEnterToStart	x	>>> 按 Enter 或点击鼠标开始 <<<
x	GameRules	x	绿色: +10 | 红色: -5 (3秒) | 30秒 | Esc: 暂停
x	PressEscToResume	x	按 Esc 继续
x	PressEnterToContinue	x	按 Enter 重新开始
x	DemoSubtitle	x	GGF 演示游戏
x	PhaseInfo	x	Phase 1-7 功能演示
x	SwitchLanguage	x	English
x	HUDBlocks	x	方块：{0}
